x,country,date,historyValue1,historyValue2,historyValue3,historyValue4
7,CAD,2017/10/23,23.58,24.32,23.85,24.07
8,CAD,2017/10/20,23.8,24.54,24.07,24.29
9,CAD,2017/10/19,23.89,24.63,24.16,24.38
10,CAD,2017/10/18,23.75,24.49,24.02,24.24
11,CAD,2017/10/17,23.71,24.45,23.98,24.2
12,CAD,2017/10/16,23.78,24.52,24.05,24.27
13,CAD,2017/10/13,23.84,24.58,24.11,24.33
14,CAD,2017/10/12,23.89,24.63,24.16,24.38
15,CAD,2017/10/11,23.78,24.52,24.05,24.27
16,CAD,2017/10/06,23.75,24.49,24.02,24.24
17,CAD,2017/10/05,23.92,24.66,24.19,24.41
18,CAD,2017/10/03,23.95,24.69,24.22,24.44
19,CAD,2017/10/02,23.92,24.66,24.19,24.41
20,CAD,2017/09/30,23.9,24.64,24.17,24.39
21,CAD,2017/09/29,24.03,24.77,24.3,24.52
22,CAD,2017/09/28,23.94,24.68,24.21,24.43
23,CAD,2017/09/27,24.09,24.83,24.36,24.58
24,CAD,2017/09/26,24,24.74,24.27,24.49
25,CAD,2017/09/25,24.06,24.8,24.33,24.55
26,CAD,2017/09/22,24.19,24.93,24.46,24.68
27,CAD,2017/09/21,24.1,24.84,24.37,24.59
28,CAD,2017/09/20,24.16,24.9,24.43,24.65
29,CAD,2017/09/19,24.13,24.87,24.4,24.62
30,CAD,2017/09/18,24.3,25.04,24.57,24.79
31,CAD,2017/09/15,24.34,25.08,24.61,24.83
32,CAD,2017/09/14,24.35,25.09,24.62,24.84
33,CAD,2017/09/13,24.35,25.09,24.62,24.84
34,CAD,2017/09/12,24.44,25.18,24.71,24.93
35,CAD,2017/09/11,24.38,25.12,24.65,24.87
36,CAD,2017/09/08,24.41,25.15,24.68,24.9
37,CAD,2017/09/07,24.23,24.97,24.5,24.72
38,CAD,2017/09/06,23.91,24.65,24.18,24.4
39,CAD,2017/09/05,23.86,24.6,24.13,24.35
40,CAD,2017/09/04,23.86,24.6,24.13,24.35
41,CAD,2017/09/01,23.74,24.48,24.01,24.23
42,CAD,2017/08/31,23.51,24.25,23.78,24
43,CAD,2017/08/30,23.7,24.44,23.97,24.19
44,CAD,2017/08/29,23.85,24.59,24.12,24.34
45,CAD,2017/08/28,23.8,24.54,24.07,24.29
46,CAD,2017/08/25,23.79,24.53,24.06,24.28
47,CAD,2017/08/24,23.73,24.47,24,24.22
48,CAD,2017/08/23,23.72,24.46,23.99,24.21
49,CAD,2017/08/22,23.7,24.44,23.97,24.19
50,CAD,2017/08/21,23.68,24.42,23.95,24.17
51,CAD,2017/08/18,23.62,24.36,23.89,24.11
52,CAD,2017/08/17,23.69,24.43,23.96,24.18
53,CAD,2017/08/16,23.45,24.19,23.72,23.94
54,CAD,2017/08/15,23.39,24.13,23.66,23.88
55,CAD,2017/08/14,23.48,24.22,23.75,23.97
56,CAD,2017/08/11,23.46,24.2,23.73,23.95
57,CAD,2017/08/10,23.42,24.16,23.69,23.91
58,CAD,2017/08/09,23.45,24.19,23.72,23.94
59,CAD,2017/08/08,23.46,24.2,23.73,23.95
60,CAD,2017/08/07,23.49,24.23,23.76,23.98
61,CAD,2017/08/04,23.65,24.39,23.92,24.14
62,CAD,2017/08/03,23.56,24.3,23.83,24.05
63,CAD,2017/08/02,23.64,24.38,23.91,24.13
64,CAD,2017/08/01,23.87,24.61,24.14,24.36
0,SGD,2017/11/01,21.69,22.47,22.11,22.29
1,SGD,2017/10/31,21.66,22.44,22.08,22.26
2,SGD,2017/10/30,21.61,22.39,22.03,22.21
3,SGD,2017/10/27,21.61,22.39,22.03,22.21
4,SGD,2017/10/26,21.69,22.47,22.11,22.29
5,SGD,2017/10/25,21.71,22.49,22.13,22.31
6,SGD,2017/10/24,21.72,22.5,22.14,22.32
7,SGD,2017/10/23,21.7,22.48,22.12,22.3
8,SGD,2017/10/20,21.72,22.5,22.14,22.32
9,SGD,2017/10/19,21.77,22.55,22.19,22.37
10,SGD,2017/10/18,21.76,22.54,22.18,22.36
11,SGD,2017/10/17,21.76,22.54,22.18,22.36
12,SGD,2017/10/16,21.81,22.59,22.23,22.41
13,SGD,2017/10/13,21.77,22.55,22.19,22.37
14,SGD,2017/10/12,21.81,22.59,22.23,22.41
15,SGD,2017/10/11,21.77,22.55,22.19,22.37
16,SGD,2017/10/06,21.72,22.5,22.14,22.32
17,SGD,2017/10/05,21.74,22.52,22.16,22.34
18,SGD,2017/10/03,21.82,22.6,22.24,22.42
19,SGD,2017/10/02,21.81,22.59,22.23,22.41
20,SGD,2017/09/30,21.79,22.57,22.21,22.39
